,date,cdb5y,cdb10y,loan5y,basis5y,basis10y,cdb5y_ma30,cdb10y_ma30,basis5y_ma30,basis10y_ma30,cdb5y_ma90,cdb10y_ma90,basis5y_ma90,basis10y_ma90,cdb5y_ma180,cdb10y_ma180,basis5y_ma180,basis10y_ma180,cdb5y_ma360,cdb10y_ma360,basis5y_ma360,basis10y_ma360,cdb5y_ma1800,cdb10y_ma1800,basis5y_ma1800,basis10y_ma1800
5442,2016-11-25,3.1764,3.208,4.9,1.7236000000000002,1.6920000000000002,3.0669799999999774,3.1513699999999956,1.833020000000023,1.7486300000000048,2.9844188888888925,3.1076355555555613,1.9155811111111078,1.792364444444439,3.017825555555565,3.152568888888878,1.8821744444444355,1.7474311111111223,3.054682222222226,3.1940405555555573,1.8453177777777743,1.705959444444443,4.0155443333333425,4.201798388888891,0.8844556666666579,0.6982016111111093
5443,2016-11-26,3.1764,3.208,4.9,1.7236000000000002,1.6920000000000002,3.074236666666644,3.155363333333329,1.8257633333333563,1.7446366666666715,2.9864600000000032,3.10836333333334,1.9135399999999971,1.7916366666666605,3.017407222222231,3.1518011111111006,1.8825927777777696,1.7481988888888997,3.0542727777777823,3.1934216666666684,1.845727222222218,1.706578333333332,4.015305222222231,4.201358111111113,0.884694777777769,0.6986418888888872
5444,2016-11-27,3.1764,3.208,4.9,1.7236000000000002,1.6920000000000002,3.081913333333311,3.1595233333333286,1.8180866666666895,1.7404766666666718,2.9883055555555593,3.1088177777777846,1.911694444444441,1.7911822222222158,3.017121666666675,3.1511305555555444,1.8828783333333252,1.748869444444456,3.0539233333333375,3.192843611111113,1.8460766666666628,1.7071563888888872,4.015066111111121,4.200917833333335,0.8849338888888791,0.6990821666666651
5445,2016-11-28,3.1707,3.2036,4.9,1.7293000000000003,1.6964000000000006,3.0893999999999773,3.1635366666666616,1.810600000000023,1.7364633333333388,2.9897477777777812,3.1088466666666728,1.9102522222222191,1.7911533333333276,3.016831666666675,3.1504216666666562,1.8831683333333253,1.7495783333333441,3.0535852777777817,3.1922736111111134,1.8464147222222187,1.707726388888887,4.0148238333333435,4.200475111111112,0.8851761666666569,0.6995248888888881
5446,2016-11-29,3.2185,3.2667,4.9,1.6815000000000002,1.6333000000000002,3.0984799999999777,3.1696533333333283,1.8015200000000227,1.730346666666672,2.992072222222226,3.1096255555555623,1.9079277777777746,1.790374444444438,3.016743888888897,3.1499938888888783,1.8832561111111032,1.750006111111122,3.0533800000000038,3.1918788888888914,1.8466199999999966,1.708121111111109,4.014605611111121,4.200074166666668,0.8853943888888791,0.6999258333333325
5447,2016-11-30,3.2365,3.2868,4.9,1.6635000000000004,1.6132000000000004,3.1070866666666443,3.1756866666666617,1.792913333333356,1.7243133333333387,2.9946822222222256,3.1107166666666735,1.9053177777777748,1.789283333333327,3.016710555555564,3.1496566666666563,1.8832894444444364,1.750343333333344,3.0532247222222257,3.191540000000003,1.8467752777777746,1.7084599999999974,4.014398666666676,4.19968438888889,0.8856013333333239,0.70031561111111
5448,2016-12-01,3.3265,3.3419,4.9,1.5735000000000006,1.5581000000000005,3.1180099999999773,3.183473333333328,1.781990000000023,1.7165266666666725,2.9985022222222257,3.112441111111118,1.9014977777777746,1.7875588888888823,3.017177222222231,3.1496255555555455,1.8828227777777693,1.750374444444455,3.053365833333337,3.19137527777778,1.8466341666666635,1.7086247222222202,4.014246333333343,4.199325611111113,0.8857536666666572,0.7006743888888876
5449,2016-12-02,3.3487,3.357,4.9,1.5513000000000003,1.5430000000000001,3.1297066666666438,3.192013333333328,1.7702933333333566,1.7079866666666725,3.002568888888892,3.114333333333341,1.8974311111111084,1.7856666666666592,3.0177672222222314,3.149678333333323,1.882232777777769,1.7503216666666774,3.0537391666666696,3.1912941666666694,1.8462608333333308,1.708705833333331,4.014121611111121,4.198971888888891,0.8858783888888793,0.7010281111111096
5450,2016-12-03,3.3487,3.357,4.9,1.5513000000000003,1.5430000000000001,3.141879999999977,3.2009666666666607,1.7581200000000234,1.6990333333333396,3.0066355555555586,3.116225555555564,1.8933644444444417,1.7837744444444366,3.0184233333333426,3.149813888888879,1.8815766666666578,1.7501861111111214,3.054178888888892,3.191226388888891,1.8458211111111082,1.7087736111111091,4.013995833333343,4.198618055555557,0.8860041666666572,0.7013819444444431
5451,2016-12-04,3.3487,3.357,4.9,1.5513000000000003,1.5430000000000001,3.1540466666666434,3.2098199999999943,1.745953333333357,1.690180000000006,3.0107877777777805,3.118094444444453,1.8892122222222199,1.7819055555555474,3.0190872222222316,3.1498716666666566,1.8809127777777688,1.7501283333333437,3.0546205555555592,3.191158888888891,1.8453794444444411,1.7088411111111093,4.013871722222231,4.198263777777779,0.886128277777769,0.7017362222222214
5452,2016-12-05,3.33,3.387,4.9,1.5700000000000003,1.5130000000000003,3.1655899999999764,3.219673333333328,1.734410000000024,1.6803266666666725,3.014651111111114,3.120164444444453,1.8853488888888865,1.7798355555555472,3.019638888888899,3.1500905555555456,1.8803611111111014,1.7499094444444547,3.0550461111111145,3.1912219444444467,1.844953888888886,1.7087780555555536,4.013737222222232,4.197926166666668,0.8862627777777687,0.7020738333333325
5453,2016-12-06,3.45,3.4795,4.9,1.4500000000000002,1.4205000000000005,3.18113333333331,3.232609999999995,1.7188666666666905,1.6673900000000055,3.01973777777778,3.1235955555555637,1.8802622222222203,1.7764044444444367,3.0208572222222325,3.1508233333333235,1.8791427777777678,1.7491766666666768,3.055805000000004,3.1915419444444466,1.8441949999999965,1.7084580555555537,4.013669388888897,4.197639944444446,0.8863306111111031,0.7023600555555545
5454,2016-12-07,3.4452,3.4533,4.9,1.4548000000000005,1.4467000000000003,3.196159999999977,3.2438866666666617,1.7038400000000236,1.6561133333333387,3.024826666666669,3.1271355555555638,1.8751733333333314,1.7728644444444366,3.0220488888888997,3.1514105555555463,1.8779511111111007,1.748589444444454,3.056550555555559,3.191789166666669,1.8434494444444414,1.7082108333333315,4.013598888888898,4.1973391666666675,0.8864011111111028,0.7026608333333328
5455,2016-12-08,3.4253,3.4338,4.9,1.4747000000000003,1.4662000000000002,3.2103499999999765,3.254106666666662,1.6896500000000239,1.6458933333333383,3.0298300000000022,3.13062111111112,1.8701699999999981,1.7693788888888804,3.0231300000000108,3.151889444444435,1.8768699999999896,1.7481105555555652,3.0571963888888924,3.1918930555555574,1.842803611111108,1.708106944444443,4.013519333333342,4.1970327222222235,0.8864806666666585,0.7029672777777769
5456,2016-12-09,3.4383,3.4493,4.9,1.4617000000000004,1.4507000000000003,3.2249533333333096,3.2651733333333284,1.6750466666666908,1.634826666666672,3.03497777777778,3.1342788888888977,1.8650222222222204,1.7657211111111026,3.0242783333333447,3.152514999999991,1.8757216666666556,1.7474850000000095,3.0578436111111147,3.192060000000002,1.8421563888888857,1.7079399999999985,4.013416000000008,4.196735611111112,0.886583999999992,0.7032643888888881
5457,2016-12-10,3.4383,3.4493,4.9,1.4617000000000004,1.4507000000000003,3.238289999999976,3.275196666666661,1.6617100000000242,1.6248033333333392,3.0401255555555577,3.137936666666676,1.8598744444444426,1.7620633333333244,3.025442222222234,3.1531877777777684,1.8745577777777664,1.746812222222232,3.058528333333337,3.192248611111113,1.8414716666666635,1.7077513888888873,4.013335277777785,4.196455500000002,0.886664722222215,0.7035444999999987
5458,2016-12-11,3.4383,3.4493,4.9,1.4617000000000004,1.4507000000000003,3.250576666666643,3.284883333333328,1.6494233333333574,1.6151166666666725,3.045156666666669,3.141400000000009,1.8548433333333314,1.7585999999999915,3.026805000000012,3.154028333333324,1.8731949999999884,1.7459716666666765,3.0593569444444477,3.1925063888888903,1.8406430555555526,1.70749361111111,4.013254555555563,4.196175388888891,0.8867454444444371,0.7038246111111093
5459,2016-12-12,3.5284,3.5572,4.9,1.3716000000000004,1.3428000000000004,3.265866666666643,3.298166666666661,1.6341333333333572,1.6018333333333392,3.0513433333333353,3.1462844444444538,1.848656666666665,1.7537155555555466,3.0286916666666786,3.155495555555546,1.8713083333333218,1.7445044444444542,3.060522777777781,3.19318138888889,1.8394772222222193,1.7068186111111103,4.013223888888897,4.195955222222224,0.8867761111111037,0.7040447777777761
5460,2016-12-13,3.5827,3.6173,4.9,1.3173000000000004,1.2827000000000002,3.2829666666666433,3.313453333333328,1.617033333333357,1.5865466666666723,3.058131111111113,3.1519200000000094,1.8418688888888872,1.748079999999991,3.0310205555555676,3.1574244444444353,1.8689794444444328,1.742575555555565,3.0618394444444474,3.1940233333333348,1.838160555555553,1.7059766666666656,4.013235777777785,4.195795055555558,0.8867642222222152,0.7042049444444425
5461,2016-12-14,3.6327,3.6605,4.9,1.2673000000000005,1.2395000000000005,3.3006933333333097,3.3295099999999946,1.5993066666666906,1.5704900000000057,3.065474444444447,3.158035555555565,1.8345255555555533,1.7419644444444353,3.033684444444457,3.1596094444444347,1.8663155555555435,1.7403905555555657,3.063295000000003,3.194985277777779,1.8367049999999971,1.7050147222222214,4.013271055555563,4.195674500000003,0.8867289444444371,0.7043254999999977
5462,2016-12-15,3.85,3.8871,4.9,1.0500000000000003,1.0129000000000001,3.3238199999999765,3.353029999999995,1.576180000000024,1.5469700000000053,3.0752322222222253,3.1666688888888985,1.824767777777775,1.7333311111111018,3.037555555555568,3.1630533333333237,1.8624444444444324,1.7369466666666766,3.0656241666666695,3.196736666666668,1.8343758333333309,1.7032633333333322,4.013398777777786,4.1956658333333365,0.8866012222222146,0.7043341666666638
5463,2016-12-16,3.8395,3.7916,4.9,1.0605000000000002,1.1084000000000005,3.3464866666666433,3.372766666666662,1.553513333333357,1.5272333333333385,3.0848733333333365,3.174241111111121,1.815126666666664,1.7257588888888793,3.041368333333346,3.1659666666666575,1.8586316666666542,1.7340333333333429,3.0679933333333365,3.1983472222222233,1.832006666666664,1.701652777777777,4.013517833333341,4.195587222222224,0.8864821666666591,0.704412777777776
5464,2016-12-17,3.8395,3.7916,4.9,1.0605000000000002,1.1084000000000005,3.36776333333331,3.391166666666662,1.5322366666666905,1.5088333333333384,3.0944988888888916,3.1817155555555656,1.8055011111111088,1.7182844444444347,3.045115555555569,3.1688244444444353,1.8548844444444312,1.731175555555565,3.0703755555555587,3.199985277777779,1.8296244444444416,1.7000147222222215,4.013629666666675,4.195496833333335,0.8863703333333257,0.7045031666666652
5465,2016-12-18,3.8395,3.7916,4.9,1.0605000000000002,1.1084000000000005,3.3892899999999764,3.4096699999999953,1.510710000000024,1.490330000000005,3.1041144444444466,3.189342222222232,1.7958855555555537,1.7106577777777683,3.0488350000000137,3.171681666666658,1.8511649999999866,1.7283183333333425,3.0728186111111144,3.2018036111111123,1.827181388888886,1.698196388888888,4.013741500000007,4.195406444444446,0.8862584999999932,0.7045935555555545
5466,2016-12-19,3.9007,3.9243,4.9,0.9993000000000003,0.9757000000000002,3.412856666666643,3.4325966666666616,1.4871433333333575,1.4674033333333387,3.1146222222222244,3.1988322222222325,1.785377777777776,1.7011677777777678,3.0530522222222363,3.1753727777777687,1.846947777777764,1.7246272222222316,3.0754841666666697,3.204032222222223,1.8245158333333307,1.6959677777777773,4.013887333333341,4.195389777777779,0.8861126666666594,0.7046102222222217
5467,2016-12-20,3.9415,3.9265,4.9,0.9585000000000004,0.9735000000000005,3.4377833333333094,3.4555966666666618,1.462216666666691,1.4444033333333386,3.1255111111111136,3.208291111111121,1.7744888888888868,1.6917088888888792,3.057493333333347,3.1790483333333244,1.8425066666666532,1.720951666666676,3.078263055555558,3.206266944444445,1.8217369444444422,1.6937330555555552,4.0140520000000075,4.195372111111112,0.8859479999999929,0.7046278888888882
5468,2016-12-21,3.8455,3.8195,4.9,1.0545000000000004,1.0805000000000002,3.4598133333333094,3.4754799999999952,1.440186666666691,1.4245200000000051,3.135400000000003,3.2165966666666765,1.7645999999999975,1.6834033333333238,3.0616116666666806,3.182336111111102,1.8383883333333197,1.7176638888888984,3.08077527777778,3.208204444444445,1.8192247222222204,1.6917955555555553,4.014170777777785,4.195301000000001,0.885829222222215,0.7046989999999997
